gross_label,atlas_label
STG(L),ctx_lh_G_temp_sup-Lateral
STG(R),ctx_rh_G_temp_sup-Lateral
STG(L),ctx_lh_G_temp_sup-Plan_polar
STG(R),ctx_rh_G_temp_sup-Plan_polar
STG(L),ctx_lh_G_temp_sup-Plan_tempo
STG(R),ctx_rh_G_temp_sup-Plan_tempo
HG(L),ctx_lh_G_temp_sup-G_T_transv
HG(R),ctx_rh_G_temp_sup-G_T_transv
HG(L),ctx_lh_S_temporal_transverse
HG(R),ctx_rh_S_temporal_transverse
STS(L),ctx_lh_S_temporal_sup
STS(R),ctx_rh_S_temporal_sup
STS(L),ctx_lh_S_temporal_inf
STS(R),ctx_rh_S_temporal_inf
MTG(L),ctx_lh_G_temporal_middle
MTG(R),ctx_rh_G_temporal_middle
ITG(L),ctx_lh_G_temporal_inf
ITG(R),ctx_rh_G_temporal_inf
TP(L),ctx_lh_Pole_temporal
TP(R),ctx_rh_Pole_temporal
SFG(L),ctx_lh_G_front_sup
SFG(R),ctx_rh_G_front_sup
MFG(L),ctx_lh_G_front_middle
MFG(R),ctx_rh_G_front_middle
IFG(L),ctx_lh_G_front_inf-Opercular
IFG(R),ctx_rh_G_front_inf-Opercular
IFG(L),ctx_lh_G_front_inf-Triangul
IFG(R),ctx_rh_G_front_inf-Triangul
IFG(L),ctx_lh_G_front_inf-Orbital
IFG(R),ctx_rh_G_front_inf-Orbital
PrG(L),ctx_lh_G_precentral
PrG(R),ctx_rh_G_precentral
PrG(L),ctx_lh_S_precentral-sup-part
PrG(R),ctx_rh_S_precentral-sup-part
PrG(L),ctx_lh_S_precentral-inf-part
PrG(R),ctx_rh_S_precentral-inf-part
SFGs(L),ctx_lh_S_front_sup
SFGs(R),ctx_rh_S_front_sup
IFGs(L),ctx_lh_S_front_inf
IFGs(R),ctx_rh_S_front_inf
MFGs(L),ctx_lh_S_front_middle
MFGs(R),ctx_rh_S_front_middle
Frontomargin(L),ctx_lh_G_and_S_frontomargin
Frontomargin(R),ctx_rh_G_and_S_frontomargin
TransvFrontopol(L),ctx_lh_G_and_S_transv_frontopol
TransvFrontopol(R),ctx_rh_G_and_S_transv_frontopol
PoG(L),ctx_lh_G_postcentral
PoG(R),ctx_rh_G_postcentral
PoG(L),ctx_lh_S_postcentral
PoG(R),ctx_rh_S_postcentral
SPL(L),ctx_lh_G_parietal_sup
SPL(R),ctx_rh_G_parietal_sup
SPL(L),ctx_lh_S_intrapariet_and_P_trans
SPL(R),ctx_rh_S_intrapariet_and_P_trans
AG(L),ctx_lh_G_pariet_inf-Angular
AG(R),ctx_rh_G_pariet_inf-Angular
SMG(L),ctx_lh_G_pariet_inf-Supramar
SMG(R),ctx_rh_G_pariet_inf-Supramar
IPL(L),ctx_lh_S_interm_prim-Jensen
IPL(R),ctx_rh_S_interm_prim-Jensen
PCun(L),ctx_lh_G_precuneus
PCun(R),ctx_rh_G_precuneus
PCuns(L),ctx_lh_S_subparietal
PCuns(R),ctx_rh_S_subparietal
PCuns(L),ctx_lh_S_parieto_occipital
PCuns(R),ctx_rh_S_parieto_occipital
Paracentral(L),ctx_lh_G_and_S_paracentral
Paracentral(R),ctx_rh_G_and_S_paracentral
Subcentral(L),ctx_lh_G_and_S_subcentral
Subcentral(R),ctx_rh_G_and_S_subcentral
sOccG(L),ctx_lh_G_occipital_sup
sOccG(R),ctx_rh_G_occipital_sup
mOccG(L),ctx_lh_G_occipital_middle
mOccG(R),ctx_rh_G_occipital_middle
iOccG(L),ctx_lh_G_occipital_inf
iOccG(R),ctx_rh_G_occipital_inf
iOccGs(L),ctx_lh_G_and_S_occipital_inf
iOccGs(R),ctx_rh_G_and_S_occipital_inf
Cun(L),ctx_lh_G_cuneus
Cun(R),ctx_rh_G_cuneus
OPC(L),ctx_lh_Pole_occipital
OPC(R),ctx_rh_Pole_occipital
OccS(L),ctx_lh_S_oc_sup_and_transversal
OccS(R),ctx_rh_S_oc_sup_and_transversal
OccS(L),ctx_lh_S_oc_middle_and_Lunatus
OccS(R),ctx_rh_S_oc_middle_and_Lunatus
OccS(L),ctx_lh_S_occipital_ant
OccS(R),ctx_rh_S_occipital_ant
Calcarine(L),ctx_lh_S_calcarine
Calcarine(R),ctx_rh_S_calcarine
FuG(L),ctx_lh_G_oc-temp_lat-fusifor
FuG(R),ctx_rh_G_oc-temp_lat-fusifor
FuGs(L),ctx_lh_S_oc-temp_lat
FuGs(R),ctx_rh_S_oc-temp_lat
LinG(L),ctx_lh_G_oc-temp_med-Lingual
LinG(R),ctx_rh_G_oc-temp_med-Lingual
LinGs(L),ctx_lh_S_oc-temp_med_and_Lingual
LinGs(R),ctx_rh_S_oc-temp_med_and_Lingual
PhG(L),ctx_lh_G_oc-temp_med-Parahip
PhG(R),ctx_rh_G_oc-temp_med-Parahip
CollatAnt(L),ctx_lh_S_collat_transv_ant
CollatAnt(R),ctx_rh_S_collat_transv_ant
CollatPost(L),ctx_lh_S_collat_transv_post
CollatPost(R),ctx_rh_S_collat_transv_post
INS(L),ctx_lh_G_Ins_lg_and_S_cent_ins
INS(R),ctx_rh_G_Ins_lg_and_S_cent_ins
INS(L),ctx_lh_G_insular_short
INS(R),ctx_rh_G_insular_short
INS(L),ctx_lh_S_circular_insula_ant
INS(R),ctx_rh_S_circular_insula_ant
INS(L),ctx_lh_S_circular_insula_sup
INS(R),ctx_rh_S_circular_insula_sup
INS(L),ctx_lh_S_circular_insula_inf
INS(R),ctx_rh_S_circular_insula_inf
CG(L),ctx_lh_G_cingul-Post-ventral
CG(R),ctx_rh_G_cingul-Post-ventral
CG(L),ctx_lh_G_cingul-Post-dorsal
CG(R),ctx_rh_G_cingul-Post-dorsal
CG(L),ctx_lh_G_and_S_cingul-Ant
CG(R),ctx_rh_G_and_S_cingul-Ant
CG(L),ctx_lh_G_and_S_cingul-Mid-Ant
CG(R),ctx_rh_G_and_S_cingul-Mid-Ant
CG(L),ctx_lh_G_and_S_cingul-Mid-Post
CG(R),ctx_rh_G_and_S_cingul-Mid-Post
CGs(L),ctx_lh_S_pericallosal
CGs(R),ctx_rh_S_pericallosal
CGs(L),ctx_lh_S_cingul-Marginalis
CGs(R),ctx_rh_S_cingul-Marginalis
OFC(L),ctx_lh_G_orbital
OFC(R),ctx_rh_G_orbital
OFCs(L),ctx_lh_S_orbital-H_Shaped
OFCs(R),ctx_rh_S_orbital-H_Shaped
OFCs(L),ctx_lh_S_orbital_med-olfact
OFCs(R),ctx_rh_S_orbital_med-olfact
OFCs(L),ctx_lh_S_orbital_lateral
OFCs(R),ctx_rh_S_orbital_lateral
OFCs(L),ctx_lh_S_suborbital
OFCs(R),ctx_rh_S_suborbital
# Rectus and subcallosal
GRect(L),ctx_lh_G_rectus
GRect(R),ctx_rh_G_rectus
GSubcallosal(L),ctx_lh_G_subcallosal
GSubcallosal(R),ctx_rh_G_subcallosal
Central(L),ctx_lh_S_central
Central(R),ctx_rh_S_central
Sylvian(L),ctx_lh_Lat_Fis-post
Sylvian(R),ctx_rh_Lat_Fis-post
Sylvian(L),ctx_lh_Lat_Fis-ant-Horizont
Sylvian(R),ctx_rh_Lat_Fis-ant-Horizont
Sylvian(L),ctx_lh_Lat_Fis-ant-Vertical
Sylvian(R),ctx_rh_Lat_Fis-ant-Vertical
Unknown(L),ctx_lh_Unknown
Unknown(R),ctx_rh_Unknown
Amyg(L),Left-Amygdala
Amyg(R),Right-Amygdala
Hipp(L),Left-Hippocampus
Hipp(R),Right-Hippocampus
Thal(L),Left-Thalamus-Proper
Thal(R),Right-Thalamus-Proper
Put(L),Left-Putamen
Put(R),Right-Putamen
Caud(L),Left-Caudate
Caud(R),Right-Caudate
LatV(L),Left-Lateral-Ventricle
LatV(R),Right-Lateral-Ventricle
InfLatV(L),Left-Inf-Lat-Vent
InfLatV(R),Right-Inf-Lat-Vent
VDC(L),Left-VentralDC
VDC(R),Right-VentralDC
Cb(L),Left-Cerebellum-Cortex
Cb(R),Right-Cerebellum-Cortex
BrainStem,Brain-Stem
WM,WM-hypointensities
CC,CC_Posterior
CP(L),Left-choroid-plexus
CP(R),Right-choroid-plexus
